「何かが終わり、また何かが始まるんだ」こうしてずっと、この世界は廻ってる。,Mｒ，Children
遠くへ行き過ぎた者だけが、自分がどこまで行けるのかを知ることができる。,T・S・エリオット
どこかにたどり着きたいと欲するならば、今いるところに留まらないことを決心しなければならない。,ジョン・ピアポント・モルガン
どこかに通じている大道を僕は歩いているのじゃない。僕の前に道はない。僕の後ろに道は出来る。道は僕の踏みしだいて来た足跡だ。だから道の最端にいつでも僕は立っている。,高村光太郎
とにかく、新しい毎日なんだ。,アーネスト・ヘミングウェイ（アメリカの小説家・詩人）
どの港へ向かうのかを知らぬものにとっては、いかなる風も順風足り得ない。,セネカ
どんなに洗練された大人の中にも、外に出たくてしょうがない小さな子供がいる。,ウォルト・ディズニー（ウォルト・ディズニー・カンパニー創設者）
何のために生まれて何をして生きるのか。答えられないなんてそんなのは嫌だ。何が君の幸せ。何をして喜ぶ。分からないまま終わる。そんなのは嫌だ。,アンパンマン（アンパンマンのマーチ）
人間は幸せだから歌うのではない。歌うから幸せになるのだ。,ウィリアム・ジェームズ
発見の旅とは、新しい景色を探すことではない。新しい目で見ることなのだ。,マルセル・プルースト
日の光を穫りて照る大いなる月たらんよりは、自ら光を放つ小さき灯火たれ。,森鴎外
陽はまた昇り繰り返していく。僕達の空を飲み込んでいく。行き急ぐとしても構わない。飛べるのに飛ばないよりはいい。,DragonAsh
船をつくろうと思ったら、材料を集めたり仕事の分担をする前に、はるかな海を慕うことを教えなさい。,サン＝テグジュペリ
本当の自由とは…自分のルールで生きるってことなんだよ,桜木建二
まずまずの人生をこのまま送るか？二度とない人生を求め続けるか？,布袋寅泰（BEAT EMOTION）
迷った時はね「どっちが正しいか」なんて考えちゃダメよ。日が暮れちゃうわ。頭で考えなきゃいいのよ。答えはもっと下。貴方のことなら貴方の胸が知ってるもんよ。「どっちが楽しいか」で決めなさい。,金子・シャロン（天体観測所所員）
見知らぬ街で自分が孤独だと気づくことは、世界で最も大きな喜びの一つである。,フレイ・スターク
道に迷うことは、道を知ることだ。,スワヒリ族のことわざ
道のありがたみを知っているものは、道のないところを歩いたものだけだ,大島亮吉
未知の世界を探求する人々は、地図を持たない旅行者である。,湯川秀樹
道を選ぶということは、必ずしも歩きやすい安全な道を選ぶってことじゃないんだぞ。,ドラえもん
むずかしいことをやさしく。やさしいことを深く。深いことを面白く。,井上やすし
もし今日が自分の人生の最後の日だとしたら、今日やる予定のことを、私は本当にやりたいだろうか？,スティーブ・ジョブズ（アップル創業者）
最も高く飛ぶカモメが最も遠くを見通せるのだ。,リチャード・バック『カモメのジョナサン』
最も強い者が生き残るのではない。最も賢い者が生き残るのは出ない。唯一生き残ることができるのは、変化できるものである。,チャールズ・ダーウィン
休みたいのなら、何故今休まない？,ディオゲネス
やってみせて、言って聞かせて、やらせてみて、 ほめてやらねば人は動かじ。話し合い、耳を傾け、承認し、任せてやらねば、人は育たず。やっている、姿を感謝で見守って、信頼せねば、人は実らず。,山本五十六
夢は逃げない。逃げるのはいつも自分だ。,高橋歩
私達の人生の目的は、幸せになることなのです。,ダライ・ラマ14世
私たちは、美しくて、魅力的で、冒険に満ちた素晴らしい世界に住んでいる。目を開いて探していれば、私達の物語に終わりはない。,ジャワハルラール・ネルー
私の最大の栄光は、一度も失敗しないことではなく、倒れるごとに起きるところにある,本田宗一郎
元旦の朝日にお願いはするが、大晦日の夕日に感謝しない人が多い,
世界の半分の人々は、幸福について勘違いをしています。人は、何かを所有したり手に入れることによって幸福になるのではありません。与えること、他の人に仕えることによって幸福になるのです。,ヘンリードラモント
探し物をしている子供や、助けの必要な子供の努力を見逃さないよう、子供を観察しなさい。子供の喜びを、大人の代行で奪ってしまわないように。しかし助けが必要なタイミングは逃さずに。,マリアモンテッソーリ
忙しい忙しいって言う人いるじゃない。きっと頑張っているわねって褒めてほしいのよ。だからこう言ってあげたほうがいいわ。時間の使い方が下手ねって。,リトルミイ（ムーミン）
